repo,media_cbo,mediana_cbo,desvio_padrao_cbo,media_dit,mediana_dit,desvio_padrao_dit,media_lcom,mediana_lcom,desvio_padrao_lcom
SuperTextView,3.05,2.0,5.85,1.16,1.0,0.4,141.67,0.0,1033.99
blurkit-android,6.1,5.0,5.65,1.5,1.0,0.71,30.3,0.0,90.0
CustomActivityOnCrash,5.4,4.0,4.76,1.33,1.0,0.49,32.33,0.0,80.06
helidon,5.49,4.0,5.47,1.38,1.0,1.09,34.08,1.0,359.73
roboguice,4.5,3.0,6.4,1.22,1.0,1.02,7.13,0.0,70.4
atmosphere,5.71,4.0,6.06,1.21,1.0,0.64,29.65,1.0,347.88
tablesaw,6.27,4.0,6.69,1.28,1.0,0.6,108.53,1.0,478.85
undertow,5.22,3.0,6.36,1.24,1.0,0.73,37.17,0.0,515.49
FoldCraftLauncher,5.34,3.0,6.89,1.67,1.0,1.45,50.24,1.0,868.76
maestro,8.45,6.0,8.09,1.58,1.0,0.85,27.37,0.0,367.24
portfolio,7.44,5.0,8.57,1.4,1.0,0.85,86.45,1.0,772.93
ShadowLayout,4.21,2.0,5.89,1.16,1.0,0.37,29.77,0.0,126.54
andOTP,6.11,3.0,8.45,1.5,1.0,0.98,41.42,0.0,339.33
JavaSourceCodeLearning,2.85,2.0,2.96,1.26,1.0,0.47,3.14,0.0,9.48
Skeleton,3.73,3.0,3.4,1.24,1.0,0.5,4.61,0.0,14.51
ChatKit,5.77,3.0,6.55,2.9,2.0,4.83,35.48,0.0,135.54
dinky,7.05,5.0,8.02,1.37,1.0,0.71,25.14,0.0,108.53
spruce-android,4.86,3.0,6.09,1.37,1.0,0.75,5.35,0.0,30.99
Play-with-Algorithms,2.89,2.0,2.41,1.01,1.0,0.09,5.2,0.0,20.64
grpc-spring,6.61,6.0,5.25,1.48,1.0,1.15,5.37,0.0,24.05
Chronicle-Queue,5.4,4.0,6.15,1.6,1.0,0.84,169.34,0.0,2155.08
ByteLegend,6.98,7.0,2.82,1.0,1.0,0.06,727.84,20.0,2317.18
StylishMusicPlayer,5.03,3.0,5.79,1.31,1.0,0.65,13.22,0.0,40.41
liteflow,4.88,3.0,4.77,1.78,2.0,0.64,15.07,0.0,121.93
Android-BluetoothKit,4.07,2.0,5.43,1.24,1.0,0.51,18.7,0.0,75.07
